Category,Question,Correct,Incorrect1,Incorrect2,Incorrect3
Laboratory,Which is used for mixing?,Stirring rod,Pipette,Volumetric flask
Laboratory,Which is used for filtration?,Filter paper,Bunsen burner,Graduated cylinder
Metals and Non-metals,Which is a metal?,Iron,Oxygen,Chlorine
Metals and Non-metals,Which is a non-metal?,Oxygen,Iron,Sodium
Metals and Non-metals,Which metal is liquid at room temp?,Mercury,Sodium,Chlorine
Metals and Non-metals,Which non-metal conducts electricity?,Graphite,Oxygen,Helium
Metals and Non-metals,Which is malleable?,Copper,Chlorine,Oxygen
Metals and Non-metals,Which is brittle?,Sulfur,Aluminum,Iron
Metals and Non-metals,Which reacts with acids?,Zinc,Oxygen,Neon
Molecular Geometry,What is linear shape?,CO2,H2O,NH3
Molecular Geometry,What is bent shape?,H2O,CO2,NH3
Molecular Geometry,What is trigonal planar?,BF3,NH3,H2O
Molecular Geometry,What is tetrahedral?,CH4,H2O,CO2
Molecular Geometry,What is trigonal pyramidal?,NH3,CH4,H2O
Molecular Geometry,What is octahedral?,SF6,CH4,H2O
Molecular Geometry,What is seesaw?,SF4,CH4,H2O
Redox,Which is oxidation?,Loss of electrons,Gain of electrons,Gaining protons
Redox,Which is reduction?,Gain of electrons,Loss of electrons,Losing protons
Redox,Which occurs at cathode?,Reduction,Oxidation,Neutralization
Redox,Which occurs at anode?,Oxidation,Reduction,Neutralization
Redox,Which is a redox reaction?,Zn + Cu2+ → Zn2+ + Cu,NaCl dissolution,H2O formation
Redox,Which metal is oxidized?,Zinc,Copper,Silver
Redox,Which metal is reduced?,Copper,Zinc,Iron
Periodic Properties,Which element is in period 2?,Carbon,Sodium,Potassium
Periodic Properties,Which element is a halogen?,Chlorine,Sodium,Oxygen
Periodic Properties,Which element is a noble gas?,Neon,Chlorine,Sodium
Periodic Properties,Which has highest electronegativity?,Fluorine,Francium,Oxygen
Periodic Properties,Which has smallest atomic radius?,Helium,Cesium,Fluorine
Periodic Properties,Which is most metallic?,Francium,Fluorine,Oxygen
Periodic Properties,Which element is transition metal?,Iron,Neon,Chlorine
Stoichiometry,How many moles in 18 g of water?,1,2,3
Stoichiometry,How many grams in 1 mole of CO2?,44,18,22
Stoichiometry,Which is limiting reagent?,Reactant that runs out first,Product,Excess reactant
Stoichiometry,Which is excess reagent?,Reactant left over,Product,Limiting reagent
Stoichiometry,Which is theoretical yield?,Maximum product,Actual product,Excess
Stoichiometry,Which is actual yield?,Measured product,Theoretical,Excess
Stoichiometry,Which is percent yield?,Actual/Theoretical ×100,Limiting/Excess,Product/Reactant
Thermo-chemistry,Which reaction absorbs heat?,Endothermic,Exothermic,Neutral
Thermo-chemistry,Which reaction releases heat?,Exothermic,Endothermic,Neutral
Thermo-chemistry,Which unit measures energy?,Joule,Meter,Pascal
Thermo-chemistry,Which is enthalpy change?,ΔH,ΔG,ΔS
Thermo-chemistry,Which is entropy?,ΔS,ΔH,ΔG
Thermo-chemistry,Which is Gibbs free energy?,ΔG,ΔH,ΔS
Thermo-chemistry,Which predicts spontaneity?,ΔG,ΔH,ΔS
